acc_ref,veh_ref,veh_type,tow_art,manoeuvres,veh_movecp,jloc_veh_toi,skidding,objon_cway,veh_lv_cway,objoff_cway,veh_suffix,point_impact,otherveh_ref,part_damage,no_axles,sex_driver,age_driver,breath_test,max_gross,hit_run,dtp_proj,pol_la_pro,veh_loc_toa_road,veh_loc_toa_r
3910,1,Car,No tow/articulation,Overtaking on nearside,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,0,,0,Male,50,Negative,,Other,,,unset,On main carriageway - not in restricted la
4810,1,Car,No tow/articulation,Turning left,71,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Not traced,-9,Driver not contacted at time of accident,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
4810,2,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead other,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,41,Driver not contacted at time of accident,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
4810,3,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead other,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,24,Not requested,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
9910,1,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),Skidding,None,Did not _leave carriageway,None,,Nearside,0,,0,Female,21,Negative,,Other,,,unset,On main carriageway - not in restricted la
12810,1,Car,No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),Skidding,None,Did not _leave carriageway,None,,Front,2,,0,Male,22,Not requested,,Other,,,unset,On main carriageway - not in restricted la
12810,2,Car,No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,45,Not requested,,Other,,,unset,On main carriageway - not in restricted la
12810,3,Car,No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,4,,0,Male,49,Negative,,Other,,,unset,On main carriageway - not in restricted la
12810,4,Car,No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,3,,0,Male,43,Not requested,,Other,,,unset,On main carriageway - not in restricted la
16710,1,Other motor vehicle,No tow/articulation,Stopping,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
