"Street name",Locality,"Treatment Priority Category","Treatment Priority 1 Route Reference(s)","Treatment Local Priority Route Reference(s)"
"Main Street",Kirkliston,Local,,West_P07
"Main Street","Davidsons Mains",Local,,West_P05
"Main Street",Ratho/newbridge,Local,,West_P07
"Manderston Street",Albion,Local,,CityCentre_P03
"Manse Road",Kirkliston,Local,,West_P07
"Manse Road",Broomhall,Local,,West_P03
"Mansfield Place",Broughton,Local,,North_P04
"Mansfield Road",Balerno,1,"P007 - Balerno",
"Marchbank Drive",Balerno,1,"P007 - Balerno",
"Marchbank Gardens",Balerno,1,"P007 - Balerno",
"Marchbank Grove",Balerno,1,"P007 - Balerno",
"Marchbank Place",Balerno,1,"P007 - Balerno",
"Marchbank Way",Balerno,1,"P007 - Balerno",
"Marchmont Road",Bruntsfield,Local,,South_P02
"Marionville Avenue",Meadowbank,Local,,East_P01
"Marionville Road",Meadowbank,Local,,East_P01
"Market Street","Old Town",1,CityCentre_P01,
"Maybury Drive",Bughtlin,Local,,West_P04
"Mayfield Gardens",Prestonfield,Local,,South_P03
"Mayfield Road",Mayfield,"1 and Local","P003 - Liberton",South_P03
"Mcdonald Road",,Local,,CityCentre_P04
"Mcleod Street",Gorgie,Local,,SouthWest_P04
"Meadow Place Road",Broomhall,Local,,West_P03
"Meadowfield Drive",Duddingston,Local,,East_P01
"Meadowhouse Road","Carrick Knowe",Local,,West_P03
"Melville Terrace",Bruntsfield,Local,,South_P03
"Middle Meadow Walk",Tollcross,1,"South_P01 - Meadows",
"Mill Lane","North Leith",Local,,CityCentre_P04
"Millerfield Place",Bruntsfield,Local,,South_P03
"Milton Drive",Joppa,Local,,East_P02
"Milton Road",Magdalene,Local,,East_P02
"Milton Road East",Joppa,Local,,East_P02
"Milton Road West",Durham,Local,,East_P01
"Milton Terrace",Joppa,Local,,East_P02
"Minto Street",Newington,Local,,South_P03
"Moat Drive",Slateford,Local,,SouthWest_P04
"Moffat Way",Niddrie,Local,,East_P02
"Moira Terrace",Craigentinny,Local,,East_P01
"Montgomery Street",Broughton,Local,,CityCentre_P03
Montpelier,Bruntsfield,Local,,South_P02
"Montpelier Park",Bruntsfield,Local,,South_P02
"Moredun Dykes Road","Hyvots Bank",1,"P004 - Inch_Moredun",
"Moredun Park Court",Moredun,1,"P004 - Inch_Moredun",
"Moredun Park Road",Moredun,1,"P004 - Inch_Moredun",
"Moredunvale Bank",Moredun,1,"P004 - Inch_Moredun",
"Moredunvale Place",Moredun,1,"P004 - Inch_Moredun",
"Moredunvale Road",Moredun,1,"P004 - Inch_Moredun",
"Morningside Place",Morningside,Local,,South_P02
"Morningside Road",Morningside,Local,,South_P02
"Morrison Street",Bruntsfield,1,CityCentre_P02,
"Mount Vernon Road",Liberton,1,"P003 - Liberton",
"Mountcastle Drive North",Durham,Local,,East_P01
"Mountcastle Drive South",Bingham,Local,,East_P02
"Mounthooly Loan",Frogston,1,"P005 - Fairmilehead",
"Muir Wood Crescent",Riccarton/muirwood,1,"P008 - Currie",
"Muir Wood Road",Riccarton/muirwood,1,"P008 - Currie",
"Muirhouse Parkway",Muirhouse,Local,,North_P01
"Murieston Crescent",Dalry,Local,,SouthWest_P04
"Murieston Lane",Dalry,Local,,SouthWest_P04
"Murieston Place",Dalry,Local,,SouthWest_P04
"Murieston Road",Dalry,Local,,SouthWest_P04
"Murieston Terrace",Dalry,Local,,SouthWest_P04
"Murrayburn Approach",Sighthill,Local,,SouthWest_P02
"Murrayburn Drive",Calders,Local,,SouthWest_P02
"Murrayburn Gardens",Hailesland,Local,,SouthWest_P02
"Murrayburn Gate",Hailesland,Local,,SouthWest_P02
"Murrayburn Park",Hailesland,Local,,SouthWest_P02
"Murrayburn Road",Hailesland,Local,,"SouthWest_P02, SouthWest_P03"
"Murrayfield Avenue","New Town",Local,,West_P02
"Murrayfield Drive",Murrayfield,Local,,West_P02
"Murrayfield Road",Murrayfield,Local,,West_P02
"Musselburgh Road",Joppa,Local,,East_P02
"Muttonhole Gate",Drylaw,1,"CY001 - NorthNetwork",
"Myreside Road",Morningside,Local,,South_P02
"Nether Currie Road",Riccarton/muirwood,1,"P008 - Currie",
"New Market Road",Slateford,Local,,SouthWest_P04
"New Mart Road",Slateford,Local,,SouthWest_P04
"New Street","Old Town",1,CityCentre_P01,
"New Swanston",Redford,1,"P005 - Fairmilehead",
"Newbattle Terrace",Newbattle,Local,,South_P02
"Newcraighall Drive",Newcraighall,Local,,East_P02
"Newcraighall Road",,Local,,East_P02
"Newhalls Road","South Queensferry",Local,,West_P06
"Newhaven Main Street",Newhaven,Local,,North_P03
"Newhaven Road",Newhaven,Local,,North_P03
"Newington Road",Newington,Local,,South_P03
Newkirkgate,"North Leith",Local,,CityCentre_P04
"Newliston Road",Kirkliston,Local,,West_P07
"Newtoft Street","Hyvots Bank",1,"P004 - Inch_Moredun",
"Nicolson Street",Newington,1,CityCentre_P02,
"Niddrie Farm Grove",Craigmillar,Local,,East_P02
"Niddrie House Avenue",Craigmillar,Local,,East_P02
"Niddrie Mains Road",Craigmillar,Local,,East_P02
"Niddrie Mains Terrace",Niddrie,Local,,East_P02
"North Bank Street","Old Town",1,CityCentre_P01,
"North Bridge","Old Town",1,CityCentre_P01,
"North Bughtlin Place",Bughtlin,Local,,West_P04
"North Bughtlin Road",Bughtlin,Local,,West_P04
"North Castle Street","New Town",1,CityCentre_P01,
"North Charlotte Street","New Town",1,CityCentre_P01,
"North Gyle Road","North Gyle",Local,,West_P03
"North Junction Street","North Leith",Local,,CityCentre_P04
"North Meadow Walk",Newington,Local,,South_P02
"North St Andrew Street","New Town",1,CityCentre_P01,
"North St David Street","New Town",1,CityCentre_P01,
"North Street",Ratho/newbridge,Local,,West_P07
"North West Circus Place",Stockbridge,1,CityCentre_P01,
"Northfield Broadway",Mountcastle,Local,,East_P01
"Northfield Drive",Mountcastle,Local,,East_P01
"Northfield Road",Mountcastle,Local,,East_P01
Oakdale,Balerno,1,"P007 - Balerno",
"Ocean Drive",Newhaven,Local,,CityCentre_P04
"Old Dalkeith Road",Edinburgh,"1 and Local","P004 - Inch_Moredun",South_P03
"Old Liston Road",Ratho/newbridge,Local,,West_P07
"Orchard Brae",Stockbridge,Local,,North_P04
Orrvale,Balerno,1,"P007 - Balerno",
"Osborne Terrace",Dalry,Local,,West_P02
"Oswald Road",Newbattle,Local,,South_P02
"Oxgangs Avenue",Firrhill,1,"P006 - Oxgangs",
"Oxgangs Bank",Caiystane,1,"P006 - Oxgangs",
"Oxgangs Brae",Caiystane,1,"P006 - Oxgangs",
"Oxgangs Broadway",Caiystane,1,"P006 - Oxgangs",
"Oxgangs Crescent",Firrhill,1,"P006 - Oxgangs",
"Oxgangs Farm Drive",Oxgangs,1,"P006 - Oxgangs",
"Oxgangs Green",Pentland,1,"P006 - Oxgangs",
"Oxgangs Medway",Caiystane,1,"P006 - Oxgangs",
"Oxgangs Park",Caiystane,1,"P006 - Oxgangs",
"Oxgangs Path",Caiystane,1,"P006 - Oxgangs",
"Oxgangs Rise",Caiystane,1,"P006 - Oxgangs",
"Oxgangs Road",Swanston,1,"P005 - Fairmilehead, P006 - Oxgangs",
"Oxgangs Road North",Oxgangs,1,"P006 - Oxgangs",
"Oxgangs View",Caiystane,1,"P006 - Oxgangs",
"Paisley Crescent",Willowbrae,Local,,East_P01
"Paisley Drive",Duddingston,Local,,East_P01
"Palmer Place",Curriehill,1,"P007 - Balerno",
"Palmer Road",Curriehill,1,"P007 - Balerno",
"Parkgrove Avenue",Barnton,Local,,West_P04
"Parkgrove Place",Barnton,Local,,West_P04
"Parkgrove Street",Barnton,Local,,West_P04
"Parkgrove Terrace",Barnton,Local,,West_P04
"Parkhead Drive",Parkhead,Local,,SouthWest_P02
Parkside,Newbridge,Local,,West_P07
"Parsons Green Terrace",Willowbrae,Local,,East_P01
"Path Brae",Kirkliston,Local,,West_P07
"Peffermill Road",Prestonfield,Local,,"East_P02, South_P03"
"Pilrig Street",Bonnington,Local,,CityCentre_P04
"Pilton Drive",Royston,Local,,North_P03
"Pilton Drive North",Royston,Local,,North_P03
"Pirniefield Place",Lochend,Local,,CityCentre_P03
"Playfair Steps","Old Town",Local,,CityCentre_HS01
Pleasance,Newington,1,CityCentre_P02,
"Polwarth Crescent",Bruntsfield,Local,,"South_P02, SouthWest_P04"
"Polwarth Gardens",Bruntsfield,Local,,South_P02
"Polwarth Grove",Bruntsfield,Local,,South_P02
"Polwarth Terrace",Bruntsfield,Local,,South_P02
"Queen Street Gardens East",Broughton,1,CityCentre_P01,
"Queen Street Gardens West",Stockbridge,1,CityCentre_P01,
"Queen's Bay Crescent",Joppa,Local,,East_P02
"Queensferry Road",Kirkliston,Local,,West_P07
"Queensferry Road",,Local,,"North_P02, North_P04, West_P04, West_P05"
"Queensferry Street","New Town",1,CityCentre_P01,
"Queensferry Terrace",Ravelston,Local,,North_P04
"Rackstraw Place",Niddrie,Local,,East_P02
"Raeburn Place",Stockbridge,1,CityCentre_P01,
"Railpath - Lower Granton Road to Granton",Granton,1,"CY001 - NorthNetwork",
"Redford Drive",Redford,1,"P009 - Colinton",
"Redford Gardens",Redford,1,"P009 - Colinton",
"Redford Place",Redford,1,"P009 - Colinton",
"Redford Road",Redford,1,"P009 - Colinton",
"Redford Walk",Redford,1,"P009 - Colinton",
"Redhall Drive",Kingsknowe,Local,,SouthWest_P03
"Redhall Gardens",Kingsknowe,Local,,SouthWest_P03
"Redhall Grove",Kingsknowe,Local,,SouthWest_P03
"Redhall Road",Kingsknowe,Local,,SouthWest_P03
"Regent Road",Broughton,Local,,CityCentre_P04
