"Street name",Locality,"Treatment Priority Category","Treatment Priority 1 Route Reference(s)","Treatment Local Priority Route Reference(s)"
"Buckstone Circle",Buckstone,1,"P005 - Fairmilehead",
"Buckstone Crescent",,1,"P005 - Fairmilehead",
"Buckstone Drive",Buckstone,1,"P005 - Fairmilehead",
"Buckstone Loan",,1,"P005 - Fairmilehead",
"Buckstone Loan East",Buckstone,1,"P005 - Fairmilehead",
"Buckstone Road",,1,"P005 - Fairmilehead",
"Buckstone Terrace",Buckstone,1,"P005 - Fairmilehead",
"Builyeon Road","South Queensferry",Local,,West_P06
"Burgess Road","South Queensferry",Local,,West_P06
"Cadzow Place",Abbeyhill,Local,,CityCentre_P03
"Caiystane Gardens",Caiystane,1,"P006 - Oxgangs",
"Calder Crescent",Calders,Local,,SouthWest_P02
"Calder Drive",Calders,Local,,SouthWest_P02
"Calder Gardens",Calders,Local,,SouthWest_P02
"Calder Grove",Calders,Local,,SouthWest_P02
"Calder Park",Calders,Local,,SouthWest_P02
"Calder Place",Calders,Local,,SouthWest_P02
"Calder Road",Edinburgh,Local,,SouthWest_P01
"Calder Road - SR Numbers 187 - 385",Parkhead,Local,,SouthWest_P01
"Calder Road - SR Numbers 298 - 370",Broomhouse,Local,,SouthWest_P01
"Calder Road - SR Numbers 387 - 495",Sighthill,Local,,SouthWest_P02
"Calder View",Calders,Local,,SouthWest_P02
"Caledonian Cycle Track",,1,"CY001 - NorthNetwork",
"Calton Road","Old Town",1,CityCentre_P01,
"Cambridge Avenue",Bonnington,Local,,CityCentre_P04
"Cambridge Street","Old Town",1,CityCentre_P02,
"Cameron Crescent",Prestonfield,1,"PC001 - South_IR",
"Cameron House Avenue",Prestonfield,Local,,South_P03
"Cameron Terrace",Prestonfield,Local,,South_P03
"Cameron Toll",Prestonfield,Local,,South_P03
"Canaan Lane",Newbattle,Local,,South_P02
"Candlemaker Row","Old Town",1,CityCentre_P02,
"Candlemaker's Park",Moredun,1,"P004 - Inch_Moredun",
Canongate,"Old Town",1,CityCentre_P02,
Canonmills,Broughton,Local,,North_P04
"Captain's Drive",Gracemount,1,"P003 - Liberton",
"Captain's Road",Gracemount,1,"P003 - Liberton",
"Cargil Terrace",Trinity,Local,,North_P03
"Carlowrie Avenue",Dalmeny,Local,,West_P06
"Carlowrie Crescent",Dalmeny,Local,,West_P06
"Carrick Knowe Gardens","Carrick Knowe",Local,,West_P03
"Carrington Road",Inverleith,Local,,North_P04
"Castle Street","New Town",1,CityCentre_P01,
"Castle Terrace","Old Town",1,CityCentre_P02,
Castlehill,"Old Town",1,CityCentre_P02,
Causewayside,Grange,Local,,South_P03
"Chalmers Street",Newington,Local,,South_P02
"Chambers Street","Old Town",1,CityCentre_P02,
"Chancelot Path",Warriston,1,"CY001 - NorthNetwork",
"Chancelot Terrace",Bonnington,Local,,North_P03
"Chapel Street","South Side",Local,,South_P03
"Charlotte Square","New Town",1,CityCentre_P01,
"Chesser Avenue",Slateford,Local,,SouthWest_P04
"Cheyne Street",Stockbridge,Local,,North_P04
"Circus Place",Stockbridge,1,CityCentre_P01,
"Claremont Park",Lochend,Local,,CityCentre_P03
"Claremont Road",Lochend,Local,,CityCentre_P03
"Clark Road",Trinity,Local,,North_P03
"Clearburn Road",Prestonfield,Local,,South_P03
"Clerk Street",Newington,Local,,South_P03
"Clermiston Drive",Barnton,Local,,West_P04
"Clermiston Road",Corstorphine,Local,,West_P01
"Clermiston Road North",Barnton,Local,,West_P01
"Clifton Terrace","New Town",1,CityCentre_P02,
"Clovenstone Drive",Westerhailes,Local,,SouthWest_P02
"Clovenstone Gardens",Westerhailes,Local,,SouthWest_P02
"Clovenstone Park",Westerhailes,Local,,SouthWest_P02
"Clovenstone Road",Westerhailes,Local,,SouthWest_P02
"Coates Place","New Town",1,CityCentre_P01,
"Cockburn Crescent",Balerno,1,"P007 - Balerno",
"Cockburn Street","Old Town",1,CityCentre_P01,
"Coillesdene Avenue",Joppa,Local,,East_P02
"Coillesdene Drive",Joppa,Local,,East_P02
"Colinton Mains Drive",Firrhill,1,"P006 - Oxgangs",
"Colinton Mains Gardens",Firrhill,1,"P006 - Oxgangs",
"Colinton Road",Firrhill,"1 and Local","P006 - Oxgangs, P009 - Colinton",South_P02
"Collier Place",Niddrie,Local,,East_P02
"Comely Bank",Stockbridge,Local,,North_P04
"Comely Bank Road",Stockbridge,"1 and Local",CityCentre_P01,North_P04
"Comiston Road",Cluny,"1 and Local","P005 - Fairmilehead",South_P02
"Comiston Springs Avenue",Pentland,1,"P005 - Fairmilehead",
"Constitution Street","South Leith",Local,,CityCentre_P04
"Corbiehill Road",Corbiehill,Local,,West_P05
"Corslet Crescent",Riccarton/muirwood,1,"P008 - Currie",
"Corslet Place",Riccarton/muirwood,1,"P008 - Currie",
"Corslet Road",Riccarton/muirwood,1,"P008 - Currie",
"Corstorphine High Street",Broomhall,Local,,West_P03
"Corstorphine Road",Murrayfield,Local,,"SouthWest_P04, West_P02"
Cowgate,"Old Town",1,CityCentre_P02,
Cowgatehead,"Old Town",1,CityCentre_P02,
"Craigcrook Road",Blackhall,Local,,North_P02
"Craigentinny Road",Craigentinny,Local,,East_P01
"Craighall Avenue",Newhaven,Local,,North_P03
"Craighall Bank",Newhaven,Local,,North_P03
"Craighall Road",Trinity,Local,,North_P03
"Craighouse Road","Easter Craiglockhart",Local,,South_P02
"Craigleith Avenue North",Ravelston,Local,,West_P02
"Craigleith Crescent",Ravelston,Local,,West_P02
"Craigleith Road",Craigleith,Local,,North_P02
"Craiglockhart Avenue","Wester Craiglockhart",Local,,SouthWest_P04
"Craigmillar Castle Avenue",Craigmillar,Local,,East_P02
"Craigmillar Castle Gardens",Craigmillar,Local,,East_P02
"Craigmillar Castle Loan",Craigmillar,Local,,East_P02
"Craigmillar Castle Road",Craigmillar,Local,,East_P02
"Craigmillar Park",Mayfield,Local,,South_P03
"Craigmount Avenue North",Craigmount,Local,,West_P04
"Craigmount Brae",Craigmount,Local,,West_P04
"Craigmount Way",Craigmount,Local,,West_P04
"Craigour Drive",,1,"P004 - Inch_Moredun",
"Craigour Place",Moredun,1,"P004 - Inch_Moredun",
"Craigs Road","North Gyle",Local,,West_P03
"Cramond Crescent",Cramond,Local,,West_P05
"Cramond Glebe Road",Cramond,Local,,West_P05
"Cramond Road North",Cramond,Local,,West_P05
"Cramond Road South",Silverknowes,Local,,West_P05
"Cranston Street","Old Town",1,CityCentre_P01,
"Crewe Road Gardens",Royston,Local,,North_P01
"Crewe Road North",,Local,,North_P03
"Crewe Road South",,Local,,North_P02
"Crighton Place",Albion,Local,,CityCentre_P04
"Croall Place",Broughton,Local,,CityCentre_P04
"Curriehill Road",Riccarton/muirwood,1,"P008 - Currie",
"Currievale Drive",Curriehill,1,"P008 - Currie",
"Cycle Track at King George IV Park",Broughton,1,"CY001 - NorthNetwork",
"Cycle Track From Trinity Station To Cale",Warriston,1,"CY001 - NorthNetwork",
"Cycle Track From Trinity Station To Lowe",Trinity,1,"CY001 - NorthNetwork",
"Cycle Track From Trinity To Heriot Hill",Warriston,1,"CY001 - NorthNetwork",
"Cycle Track From Victoria Park To Stedfa",Warriston,1,"CY001 - NorthNetwork",
"Cycle Track Through Bingham Park",Bingham,1,"PC001 - South_IR",
"Dalkeith Road",Prestonfield,1,"PC001 - South_IR",
"Dalmeny Street",Albion,Local,,CityCentre_P03
"Dalry Road",Dalry,Local,,SouthWest_P04
"Dalziel Place",Broughton,Local,,East_P01
"Dean Bank Lane",Stockbridge,Local,,North_P04
"Dean Bridge",,1,CityCentre_P01,
"Dean Park Crescent",Stockbridge,Local,,North_P04
"Dean Path",Stockbridge,Local,,North_P04
"Dean Street",Stockbridge,Local,,North_P04
"Deanhaugh Street",Stockbridge,1,CityCentre_P01,
"Deanpark Avenue",Balerno,1,"P007 - Balerno",
"Deanpark Brae",Balerno,1,"P007 - Balerno",
"Deanpark Place",Balerno,1,"P007 - Balerno",
"Devon Place",Roseburn,Local,,West_P02
"Dolphin Avenue",Curriehill,1,"P007 - Balerno",
"Dolphin Gardens East",Curriehill,1,"P007 - Balerno",
"Dolphin Gardens West",Curriehill,1,"P007 - Balerno",
"Dolphin Road",Curriehill,1,"P007 - Balerno",
"Downie Terrace",Murrayfield,Local,,West_P02
"Dreghorn Loan",Redford,1,"P009 - Colinton",
"Drum Brae Crescent",Barnton,Local,,West_P04
"Drum Brae Drive",Clerwood,Local,,West_P01
"Drum Brae North",Craigmount,Local,,West_P01
"Drum Brae South",Craigmount,Local,,West_P01
"Drum Brae Terrace",Barnton,Local,,West_P04
"Drum Street","Hyvots Bank",1,"P004 - Inch_Moredun",
"Drylaw Grove","Wester Drylaw",1,"CY001 - NorthNetwork",
"Dublin Street",Broughton,1,CityCentre_P01,
"Duddingston Crescent",Magdalene,Local,,East_P02
"Duddingston Park",Magdalene,Local,,East_P02
"Duddingston Park South",Bingham,Local,,East_P02
"Duddingston Road",Duddingston,Local,,East_P01
"Duddingston Road West",Duddingston,Local,,"East_P01, East_P02"
"Duddingston Row",Bingham,Local,,East_P01
"Duke Street","South Leith",Local,,CityCentre_P03
"Dumbryden Drive",Hailesland,Local,,SouthWest_P03
"Duncan Place","South Leith",Local,,CityCentre_P03
"Dundas Street",Broughton,"1 and Local",CityCentre_P01,North_P04
"Dundee Street",Polwarth,"1 and Local",CityCentre_P02,SouthWest_P04
"Dundee Terrace",Polwarth,Local,,SouthWest_P04
"Earl Grey Street",Tollcross,1,CityCentre_P02,
"East Barnton Avenue","Davidsons Mains",Local,,West_P05
"East Claremont Street",Broughton,Local,,CityCentre_P04
"East Fettes Avenue",Inverleith,Local,,North_P04
"East Fountainbridge","Old Town",1,CityCentre_P02,
"East Hermitage Place",Lochend,Local,,CityCentre_P03
"East London Street",Broughton,Local,,CityCentre_P04
"East Market Street","Old Town",1,CityCentre_P01,
"East Preston Street",Newington,Local,,South_P03
"East Trinity Road",Trinity,Local,,North_P03
"Easter Drylaw Drive","Easter Drylaw",Local,,North_P01
"Easter Road",Broughton,"1 and Local",CityCentre_P02,CityCentre_P03
Eastfield,Joppa,Local,,East_P02
"Eden Terrace",Newbattle,Local,,South_P02
"Edinburgh Road",Cramond,Local,,West_P06
"Eildon Terrace",Warriston,Local,,North_P04
"Elder Street","New Town",1,CityCentre_P01,
"Ellen's Glen Road",Liberton,1,"P003 - Liberton",
"Ellersly Road",Murrayfield,Local,,West_P02
"Elm Row",Broughton,Local,,CityCentre_P04
"Esslemont Road",Mayfield,1,"P003 - Liberton",
"Eyre Crescent",Broughton,Local,,North_P04
"Eyre Place",,Local,,North_P04
"Fair-A-Far Shot",Cramond,Local,,West_P05
"Falcon Gardens",Newbattle,Local,,South_P02
"Falcon Road",Newbattle,Local,,South_P02
"Falcon Road West",Newbattle,Local,,South_P02
"Featherhall Avenue",Broomhall,Local,,West_P03
"Ferniehill Drive",Moredun,1,"P004 - Inch_Moredun",
"Ferniehill Road",Moredun,1,"P004 - Inch_Moredun",
"Ferniehill Street",Moredun,1,"P004 - Inch_Moredun",
"Ferry Road",Craigleith,Local,,"CityCentre_P04, North_P01, North_P03, West_P05"
"Ferry Road (SR Nos 703 - 775)",Craigleith,Local,,North_P01
"Ferry Road Drive",Pilton,Local,,North_P01
"Fettes Avenue",Inverleith,Local,,North_P04
"Figgate Street","Portobello West",Local,,East_P02
"Firrhill Crescent",Firrhill,1,"P006 - Oxgangs",
"Firrhill Drive",Firrhill,1,"P006 - Oxgangs",
"Fleshmarket Close","Old Town",Local,,CityCentre_HS01
"Forbes Road",Bruntsfield,Local,,South_P02
"Ford's Road",Stenhouse,Local,,"SouthWest_P01, SouthWest_P04"
"Forrest Road",Tollcross,1,CityCentre_P02,
"Forth View Avenue",Currie,1,"P007 - Balerno",
"Forth View Crescent",Currie,1,"P007 - Balerno, P008 - Currie",
"Forth View Road",Currie,1,"P007 - Balerno",
"Foulis Crescent","Baberton Mains",1,"P008 - Currie",
Fountainbridge,Tollcross,1,CityCentre_P02,
"Frederick Street","New Town",1,CityCentre_P01,
"Frogston Road East",Alnwickhill,1,"P003 - Liberton",
"Frogston Road West",Frogston,1,"P005 - Fairmilehead",
"Gamekeeper's Road",Cramond,Local,,West_P05
"Gateside Road",Kirkliston,Local,,West_P07
"Gayfield Place",Broughton,Local,,CityCentre_P04
"George IV Bridge","Old Town",1,CityCentre_P02,
"George Street","New Town",1,CityCentre_P01,
"Gillespie Place",Bruntsfield,Local,,South_P02
"Gillespie Road",Hailes,1,"P009 - Colinton",
"Gilmerton Dykes Avenue","Hyvots Bank",1,"P004 - Inch_Moredun",
"Gilmerton Dykes Crescent","Hyvots Bank",1,"P004 - Inch_Moredun",
"Gilmerton Dykes Drive","Hyvots Bank",1,"P004 - Inch_Moredun",
"Gilmerton Dykes Road","Hyvots Bank",1,"P004 - Inch_Moredun",
"Gilmerton Dykes Street","Hyvots Bank",1,"P004 - Inch_Moredun",
"Gilmerton Road",Edinburgh,1,"P004 - Inch_Moredun",
"Gladstone Place",Lochend,Local,,CityCentre_P03
"Glanville Place",Stockbridge,1,CityCentre_P01,
"Glasgow Road",Newbridge,Local,,West_P07
"Glasgow Road",Edinburgh,Local,,West_P03
"Glenfinlas Street",Stockbridge,1,CityCentre_P01,
"Glenvarloch Crescent",Liberton,1,"P004 - Inch_Moredun",
"Gordon Street",Albion,Local,,CityCentre_P03
"Gordon Terrace",Mayfield,1,"P003 - Liberton",
"Gorgie Park Close",Dalry,Local,,SouthWest_P04
"Gorgie Park Road",Dalry,Local,,SouthWest_P04
"Gorgie Road",Gorgie,Local,,"SouthWest_P01, SouthWest_P04"
"Gracemount Avenue",Gracemount,1,"P003 - Liberton",
"Gracemount Drive",Gracemount,1,"P003 - Liberton",
"Grange Loan",Grange,Local,,South_P02
"Granton Crescent",Boswall,Local,,North_P03
"Granton Road",Trinity,Local,,North_P03
"Granton Square",Boswall,Local,,North_P03
Grassmarket,"Old Town",1,CityCentre_P02,
"Gray's Loan",Bruntsfield,Local,,South_P02
"Great Junction Street","North Leith",Local,,CityCentre_P04
"Great Stuart Street",Stockbridge,1,CityCentre_P01,
"Greenbank Crescent",Greenbank,1,"P006 - Oxgangs",
"Greenbank Grove",Greenbank,1,"P006 - Oxgangs",
"Greendykes Road",Craigmillar,Local,,East_P02
Greenside,Broughton,Local,,CityCentre_P04
"Greenside Place",Albion,Local,,CityCentre_P04
"Greyfriars Place",Newington,1,CityCentre_P02,
"Grierson Road",Boswall,Local,,North_P03
"Grindlay Street","Old Town",1,CityCentre_P02,
"Groathill Avenue",Craigleith,Local,,North_P02
"Groathill Road North","Easter Drylaw",Local,,North_P01
"Haddington Place",Broughton,Local,,CityCentre_P04
"Hailesland Road",Hailesland,Local,,"SouthWest_P02, SouthWest_P03"
"Hall Terrace","Carrick Knowe",Local,,West_P03
"Hamilton Drive",Durham,Local,,East_P01
"Hamilton Drive West",Durham,Local,,East_P01
"Hamilton Place",Stockbridge,Local,,North_P04
"Hamilton Terrace",Durham,Local,,East_P01
"Hampton Place","Wester Coates",Local,,West_P02
"Hanover Street","New Town",1,CityCentre_P01,
"Harrison Road",Polwarth,Local,,SouthWest_P04
"Harvesters Way",Westerhailes,Local,,SouthWest_P02
"Hawkhill Avenue",Albion,Local,,CityCentre_P03
"Hawthorn Place","Hyvots Bank",1,"P004 - Inch_Moredun",
"Hay Avenue",Niddrie,Local,,East_P02
"Hay Gardens",Niddrie,Local,,East_P02
Haymarket,"New Town",1,CityCentre_P02,
"Haymarket Terrace","New Town",1,CityCentre_P02,
"Henderson Row",Stockbridge,Local,,North_P04
"Henderson Street","North Leith",Local,,CityCentre_P04
"Heriot Bridge",Newington,1,CityCentre_P02,
"Hermitage Park",Lochend,Local,,CityCentre_P03
"Hermitage Place",Lochend,Local,,CityCentre_P03
"Hewlett Packard Plant Access Road","South Queensferry",Local,,West_P06
"High Buckstone",Buckstone,1,"P005 - Fairmilehead",
"High Street","South Queensferry",Local,,West_P06
"High Street",Kirkliston,Local,,West_P07
"High Street","Old Town",1,CityCentre_P02,
"Hillend Place",Willowbrae,Local,,East_P01
"Hillhouse Road",Corbiehill,Local,,North_P02
Hillview,Craigleith,Local,,North_P02
"Hillview Cottages",Ratho/newbridge,Local,,West_P07
"Hillwood Road","Ratho Station",Local,,West_P07
"Holyrood Park Road",Newington,1,"PC001 - South_IR",
"Holyrood Road","Old Town",1,CityCentre_P02,
"Home Street",Newington,Local,,South_P02
"Hope Lane","Portobello East",Local,,East_P02
"Hope Park Crescent",Newington,Local,,South_P03
"Hope Park Terrace",Newington,Local,,South_P03
"Hope Street","New Town",1,CityCentre_P01,
"Hopetoun Road","South Queensferry",Local,,West_P06
"Hoseason Gardens",Clerwood,Local,,West_P04
"House O'hill Terrace",Corbiehill,Local,,North_P02
"Howard Place",Warriston,Local,,North_P04
"Howard Street",Warriston,Local,,North_P04
"Howden Hall Road",Gracemount,1,"P003 - Liberton",
"Howe Street",Stockbridge,1,CityCentre_P01,
"Hutchison Avenue",Slateford,Local,,SouthWest_P04
"Hutchison Crossway",Slateford,Local,,SouthWest_P04
"Hutchison Gardens",Slateford,Local,,SouthWest_P04
"Hutchison Loan",Slateford,Local,,SouthWest_P04
"Hutchison Medway",Slateford,Local,,SouthWest_P04
"Hutchison Place",Slateford,Local,,SouthWest_P04
"Hutchison Road",Slateford,Local,,SouthWest_P04
"Hyvot Loan","Hyvots Bank",1,"P004 - Inch_Moredun",
"Hyvot Mill Drive","Hyvots Bank",1,"P004 - Inch_Moredun",
"Inchview Terrace",Craigentinny,Local,,East_P01
"India Place",Stockbridge,Local,,North_P04
"Inglis Green Road",Kingsknowe,Local,,SouthWest_P03
"Innocent Railway Path",Duddingston,1,"PC001 - South_IR",
"Inverleith Gardens",Craigleith,Local,,North_P03
"Inverleith Row",Inverleith,Local,,North_P04
"Inverleith Terrace",Inverleith,Local,,North_P04
"Iona Street",Albion,Local,,CityCentre_P03
"Ivanhoe Crescent",Liberton,1,"P004 - Inch_Moredun",
"Jameson Place",Albion,Local,,CityCentre_P04
"Jawbone Walk",Newington,1,"South_P01 - Meadows",
"Jeffrey Street","Old Town",1,CityCentre_P01,
"Jock's Lodge",Willowbrae,Local,,East_P01
"Johnsburn Road",Balerno,1,"P007 - Balerno",
"Joppa Road","Portobello East",Local,,East_P02
"Kilgraston Road",Grange,Local,,South_P02
"King's Haugh",Craigmillar,Local,,East_P02
"Kingsknowe Road North",Kingsknowe,Local,,SouthWest_P03
"Kingsknowe Road South",Kingsknowe,Local,,SouthWest_P03
"Kingston Avenue",Inch,1,"P004 - Inch_Moredun",
