National Records of Scotland

"Scotland's Census 2011 - National Records of Scotland"
"Table QS702SC - Method of travel to work or study (1)"
"All people aged 4 and over who are studying or aged 16 to 74 in employment in the week before the census"
,"Transport to place of work or study","All people","Work or study mainly at or from home","Underground, metro, light rail or tram","Train","Bus, minibus or coach","Taxi or minicab","Driving a car or van","Passenger in a car or van","Motorcycle, scooter or moped","Bicycle","On foot","Other",
,"Scottish Council Area 2011",
,"Edinburgh, City of",325698,36782,201,5085,80999,1253,85573,17679,1075,12526,82606,1919,

""
"(1) Excludes some 4 and 5 year olds (a total of 11,876 in Scotland) who were reported as being in full-time education but for whom no information on their place of study or method of travel to study was provided."
"Crown copyright 2013"
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."


