acc_ref,veh_ref,veh_type,tow_art,manoeuvres,veh_movecp,jloc_veh_toi,skidding,objon_cway,veh_lv_cway,objoff_cway,veh_suffix,point_impact,otherveh_ref,part_damage,no_axles,sex_driver,age_driver,breath_test,max_gross,hit_run,dtp_proj,pol_la_pro,veh_loc_toa_road,veh_loc_toa_r
112,1,Car,No tow/articulation,Going ahead left hand bend,51,Not at junction (or within 20 metres),Skidding,None,Left carriageway offside,Nearside or offside crash barrie,,Front,0,,0,Male,31,Positive,,Other,,,unset,On main carriageway - not in restricted la
1612,1,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,34,Negative,,Other,,,unset,On main carriageway - not in restricted la
1612,2,Car,No tow/articulation,Stopping,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Male,36,Negative,,Other,,,unset,On main carriageway - not in restricted la
1712,1,Car,No tow/articulation,Turning right,17,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Female,24,Negative,,Other,,,unset,On main carriageway - not in restricted la
1712,2,Car,No tow/articulation,Going ahead other,51,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,51,Negative,,Other,,,unset,On main carriageway - not in restricted la
2212,1,Car,No tow/articulation,Turning right,17,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,2,,0,Male,24,Negative,,Other,,,unset,On main carriageway - not in restricted la
2212,2,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead other,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,69,Negative,,Other,,,unset,On main carriageway - not in restricted la
2312,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,50,Negative,,Other,,,unset,On main carriageway - not in restricted la
2312,2,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Waiting to go ahead but held up,37,Not at junction (or within 20 metres),No skidding or jackknifing,Parked vehicle - unlit,Did not _leave carriageway,None,,Back,1,,0,Male,48,Negative,,Other,,,unset,On main carriageway - not in restricted la
2312,3,Car,No tow/articulation,Parked,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,2,,0,Male,47,Negative,,Other,,,unset,On main carriageway - not in restricted la
2712,1,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,2,,0,Male,17,Negative,,Other,,,unset,On main carriageway - not in restricted la
2712,2,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Male,45,Negative,,Other,,,unset,On main carriageway - not in restricted la
3312,1,Car,No tow/articulation,Turning right,75,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,2,,0,Female,24,Negative,,Other,,,unset,On main carriageway - not in restricted la
3312,2,Motor cycle 125cc and under,No tow/articulation,Going ahead other,51,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,27,Negative,,Other,,,unset,On main carriageway - not in restricted la
3412,1,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Left carriageway offside onto central reservation,Central crash barrier,,Front,0,,0,Male,22,Negative,,Other,,,unset,On main carriageway - not in restricted la
3612,1,Bus or coach (17 or more passenger seats),No tow/articulation,Stopping,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,48,Negative,,Other,,,unset,Busway (including guided busway)
3912,1,Goods vehicle 7.5 tonnes mgw and over,No tow/articulation,Going ahead other,37,Vehicle approaching junction/vehicle par,Skidded and overturned,None,Did not _leave carriageway,None,,Offside,0,,0,Male,47,Not requested,,Other,,,unset,On main carriageway - not in restricted la
4012,1,Car,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,2,,0,Female,76,Not provided (Medical reasons),,Other,,,unset,On main carriageway - not in restricted la
4012,2,Car,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Left carriageway nearside,Nearside or offside crash barrie,,Nearside,1,,0,Female,29,Negative,,Other,,,unset,On main carriageway - not in restricted la
5512,1,Car,No tow/articulation,Turning right,17,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,2,,0,Male,25,Not requested,,Hit and Run,,,unset,On main carriageway - not in restricted la
5512,2,Pedal cycle,No tow/articulation,Going ahead other,51,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Male,24,Not requested,,Other,,,unset,On main carriageway - not in restricted la
5812,1,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,37,Negative,,Other,,,unset,On main carriageway - not in restricted la
5812,2,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,62,Not requested,,Other,,,unset,On main carriageway - not in restricted la
5812,3,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,65,Not requested,,Other,,,unset,On main carriageway - not in restricted la
6212,1,Car,No tow/articulation,U turn,77,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,0,,0,Male,60,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
8312,1,Goods vehicle 7.5 tonnes mgw and over,No tow/articulation,Overtaking moving vehice on its offside,62,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,2,,0,Male,52,Negative,,Other,,,unset,On main carriageway - not in restricted la
8312,2,Pedal cycle,No tow/articulation,Going ahead other,62,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Male,43,Not provided (Medical reasons),,Other,,,unset,On main carriageway - not in restricted la
8312,3,Car,No tow/articulation,Parked,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,2,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
8512,1,Pedal cycle,No tow/articulation,Going ahead other,73,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,2,,0,Male,39,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
8512,2,Car,No tow/articulation,Going ahead other,15,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Female,64,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
8612,1,Car,No tow/articulation,Going ahead other,37,Vehicle in miidle of junction,No skidding or jackknifing,Parked vehicle - unlit,Did not _leave carriageway,None,,Front,2,,0,Male,41,Positive,,Hit and Run,,,unset,On main carriageway - not in restricted la
8612,2,Car,No tow/articulation,Parked,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
9712,1,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead left hand bend,37,unset,No skidding or jackknifing,None,Left carriageway nearside,Nearside or offside crash barrie,,Nearside,0,,0,Male,45,Not requested,,Other,,,unset,On main carriageway - not in restricted la
10812,1,Car,No tow/articulation,Turning right,27,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Not traced,-9,Driver not contacted at time of accident,,Hit and Run,,,unset,On main carriageway - not in restricted la
10812,2,Pedal cycle,No tow/articulation,Going ahead other,62,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Male,15,Not requested,,Other,,,unset,On main carriageway - not in restricted la
11112,1,Taxi,No tow/articulation,Going ahead other,15,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,0,,0,Male,50,Negative,,Other,,,unset,On main carriageway - not in restricted la
14412,1,Car,No tow/articulation,Starting,51,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,52,Negative,,Other,,,unset,Bus lane
14412,2,Pedal cycle,No tow/articulation,Overtaking moving vehice on its offside,51,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Male,29,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
15812,1,Other motor vehicle,No tow/articulation,Going ahead other,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,38,Negative,,Other,,,unset,On main carriageway - not in restricted la
15812,2,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Male,46,Negative,,Other,,,unset,On main carriageway - not in restricted la
15912,1,Other motor vehicle,No tow/articulation,Going ahead other,15,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,55,Negative,,Other,,,unset,On main carriageway - not in restricted la
15912,2,Goods vehicle 7.5 tonnes mgw and over,No tow/articulation,Going ahead other,37,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,3,,0,Male,50,Negative,,Other,,,unset,On main carriageway - not in restricted la
15912,3,Car,No tow/articulation,Going ahead other,37,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Female,35,Negative,,Other,,,unset,On main carriageway - not in restricted la
15912,4,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead other,37,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,43,Negative,,Other,,,unset,On main carriageway - not in restricted la
16112,1,Car,No tow/articulation,Going ahead other,15,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Female,27,Negative,,Other,,,unset,On main carriageway - not in restricted la
