acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported
377412,,Slight,2,1,21/03/2012,Wednesday,21,March,12,8,25,230,B,901,Roundabout,30,Roundabout,Give way sign or markings,C,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,325770,674670,520203,Junction,T.V.N.P.,338140,unset,EH74BN,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
379612,,Slight,2,1,10/07/2012,Tuesday,10,July,12,20,50,230,A,700,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,325920,672480,559586,Segment,T.V.N.P.,365787,unset,EH91LW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
379812,,Slight,2,1,29/06/2012,Friday,29,June,12,18,0,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,322860,673250,521271,Junction,Cyclist,355017,unset,EH126DF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
380012,,Slight,2,1,11/07/2012,Wednesday,11,July,12,11,0,230,A,70,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,322560,671320,529576,Junction,Cyclist,365788,unset,EH141PU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
380312,,Slight,2,2,10/07/2012,Tuesday,10,July,12,17,30,230,Motorway,9,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,311220,674590,562726,Segment,T.V.N.P.,365789,unset,EH299EF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
380412,,Serious,1,1,11/07/2012,Wednesday,11,July,12,11,30,230,A,900,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326070,674430,558575,Segment,Pedestrian,365790,unset,EH13NQ,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
380812,,Slight,2,1,11/07/2012,Wednesday,11,July,12,18,50,230,A,900,Dual carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326160,674590,520254,Junction,Cyclist,365791,unset,EH74AB,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
381112,,Serious,1,1,11/07/2012,Wednesday,11,July,12,17,33,230,A,71,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,321870,671630,549737,Segment,Pedestrian,365792,unset,EH113AL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
381312,,Slight,1,1,10/07/2012,Tuesday,10,July,12,16,0,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Other,Dry,None,None,No overtaking,325930,673700,569273,Segment,Pedestrian,365793,unset,EH11SB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
382512,,Slight,2,1,12/07/2012,Thursday,12,July,12,10,5,230,Motorway,8,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,317730,670650,6452114,Segment,T.V.N.P.,365794,unset,EH129BU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
