acc_ref,veh_ref,veh_type,tow_art,manoeuvres,veh_movecp,jloc_veh_toi,skidding,objon_cway,veh_lv_cway,objoff_cway,veh_suffix,point_impact,otherveh_ref,part_damage,no_axles,sex_driver,age_driver,breath_test,max_gross,hit_run,dtp_proj,pol_la_pro,veh_loc_toa_road,veh_loc_toa_r
20611,2,Car,No tow/articulation,Going ahead other,37,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,45,Not requested,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
20611,3,Car,No tow/articulation,Parked,0,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
21711,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead left hand bend,51,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Not traced,-9,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
22311,1,Car,No tow/articulation,Going ahead right hand bend,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Left carriageway nearside,None,,Front,0,,0,Not traced,-9,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
22411,1,Car,No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,28,Negative,,Other,,,unset,On main carriageway - not in restricted la
23611,1,Car,No tow/articulation,Going ahead other,37,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,24,Negative,,Other,,,unset,On main carriageway - not in restricted la
24711,1,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,43,Negative,,Other,,,unset,On main carriageway - not in restricted la
24711,2,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Female,22,Not requested,,Other,,,unset,On main carriageway - not in restricted la
25911,1,Bus or coach (17 or more passenger seats),No tow/articulation,Turning left,71,Vehicle cleared junction/vehicle parked,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,63,Negative,,Other,,,unset,On main carriageway - not in restricted la
26211,1,Car,No tow/articulation,Turning right,17,unset,Skidding,None,Did not _leave carriageway,None,,Front,0,,0,Male,39,Negative,,Other,,,unset,On main carriageway - not in restricted la
26611,1,Car,No tow/articulation,Going ahead other,37,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,71,Not requested,,Other,,,unset,On main carriageway - not in restricted la
26611,2,Car,No tow/articulation,Wating to turn left,35,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Female,44,Not requested,,Other,,,unset,On main carriageway - not in restricted la
30311,1,Pedal cycle,No tow/articulation,Overtaking on nearside,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,26,Not requested,,Other,,,unset,On main carriageway - not in restricted la
30311,2,Car,No tow/articulation,Parked,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
30311,3,Car,No tow/articulation,Waiting to go ahead but held up,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Female,64,Not requested,,Other,,,unset,On main carriageway - not in restricted la
35411,1,Car,No tow/articulation,Stopping,37,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Female,38,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
35411,2,Car,No tow/articulation,Waiting to turn right,31,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Female,44,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
39511,1,Car,No tow/articulation,Going ahead other,15,Vehicle cleared junction/vehicle parked,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Female,47,Negative,,Other,,,unset,On main carriageway - not in restricted la
39511,2,Motor cycle over 125cc,No tow/articulation,Waiting to go ahead but held up,15,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Female,43,Negative,,Other,,,unset,On main carriageway - not in restricted la
39711,1,Car,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),No skidding or jackknifing,Bollard/refuge,Did not _leave carriageway,None,,Offside,2,,0,Male,79,Negative,,Other,,,unset,On main carriageway - not in restricted la
39711,2,Taxi,No tow/articulation,Parked,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
39811,1,Car,No tow/articulation,Going ahead other,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,24,Negative,,Other,,,unset,On main carriageway - not in restricted la
39811,2,Car,No tow/articulation,Waiting to turn right,17,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Female,49,Negative,,Other,,,unset,On main carriageway - not in restricted la
41011,1,Car,Double/multiple trailer,Turning left,57,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Female,37,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
41011,2,Pedal cycle,No tow/articulation,Going ahead other,51,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Male,50,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
41611,1,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,42,Negative,,Other,,,unset,On main carriageway - not in restricted la
42411,1,Other motor vehicle,No tow/articulation,Reversing,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Not traced,-9,Not requested,,Hit and Run,,,unset,On main carriageway - not in restricted la
42411,2,Car,No tow/articulation,Waiting to turn right,75,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Female,44,Not requested,,Other,,,unset,On main carriageway - not in restricted la
43011,1,Car,No tow/articulation,Parked,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,2,,0,Female,31,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
43011,2,Pedal cycle,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,Open door of vehicle,Did not _leave carriageway,None,,Front,1,,0,Male,35,Not requested,,Other,,,unset,On main carriageway - not in restricted la
43111,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Turning right,75,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,60,Negative,,Other,,,unset,On main carriageway - not in restricted la
43111,2,Bus or coach (17 or more passenger seats),No tow/articulation,Going ahead right hand bend,37,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,48,Negative,,Other,,,unset,On main carriageway - not in restricted la
43411,1,Pedal cycle,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Female,18,Not requested,,Other,,,unset,Cycle lane (On main carriageway)
43411,2,Bus or coach (17 or more passenger seats),No tow/articulation,Overtaking stationary vehice on its offside,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Male,32,Negative,,Other,,,unset,On main carriageway - not in restricted la
43811,1,Bus or coach (17 or more passenger seats),No tow/articulation,Stopping,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,61,Not requested,,Other,,,unset,Bus lane
44211,1,Car,No tow/articulation,Going ahead other,46,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,22,Negative,,Other,,,unset,On main carriageway - not in restricted la
44211,2,Car,No tow/articulation,Waiting to turn right,53,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Female,49,Negative,,Other,,,unset,On main carriageway - not in restricted la
45511,1,Car,No tow/articulation,Reversing,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,0,,0,Male,44,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
